Cod. Municipio|CON_DISCAPACIDAD|ETNICO|EDUC_MEDIA|TECNICO/TECNOLOGO|PREGRADO|POSGRADO|Mayor20|TOTAL|PET|OCU|DSO|FT|% pobl. con discapacidad municipio|% grupos étnicos municipio|% pobl. con educación media municipio|% pobl. con edu. técnica/tecnología municipio|% pobl. con pregrado municipio|% pobl. con posgrado municipio|TGP|Tasa ocupación|Tasa desempleo
05001|148803|61560|548969|233933|263487|82183|1781943|2372330|1966127|1075048|119305|1194353|6,2724410179022305|2,594917233268559|30,807326609212527|13,12797322922226|14,786499904879113|4,611988150013778|60,746482806044575|54,67846176772915|9,989090327566473
05002|2824|64|1736|398|293|148|12445|17599|14051|7164|108|7272|16,046366270810843|0,3636570259673845|13,949377259943752|3,1980715146645236|2,3543591803937325|1,1892326235435917|51,754323535691405|50,98569496832965|1,4851485148514851
05004|361|44|365|100|48|20|1512|2159|1724|829|30|859|16,720704029643354|2,0379805465493286|24,14021164021164|6,613756613756613|3,1746031746031744|1,3227513227513228|49,82598607888631|48,085846867749424|3,4924330616996504
05021|311|12|441|203|109|28|2660|3839|2982|1497|30|1527|8,101067986454806|0,3125814014066163|16,57894736842105|7,631578947368421|4,097744360902256|1,0526315789473684|51,20724346076459|50,201207243460765|1,9646365422396856
05030|2420|139|5230|1458|735|189|19493|26821|21783|10769|857|11626|9,022780656947914|0,5182506245106446|26,830144154311803|7,479608064433386|3,770584312317242|0,9695788231672908|53,37189551485103|49,437634852866914|7,371408911061414
05031|1640|105|2571|823|453|137|13196|20265|15306|8066|453|8519|8,092770787071306|0,5181347150259068|19,48317672021825|6,236738405577448|3,4328584419521064|1,0381933919369506|55,65791192996211|52,69828825297269|5,3175255311656295
05034|4107|476|5517|1234|1199|273|26861|38144|30318|15378|656|16034|10,76709312080537|1,2479026845637584|20,539071516324782|4,594021071441867|4,463720635866126|1,0163433974907858|52,88607427930603|50,722343162477735|4,091305974803543
05036|1163|30|670|263|79|18|3546|5027|4011|2018|69|2087|23,13507061865924|0,5967774020290432|18,89452904681331|7,416807670614778|2,2278623801466444|0,5076142131979695|52,03191224133632|50,311642981800055|3,3061811212266408
05038|1754|57|1200|250|133|32|6877|10500|7975|3727|196|3923|16,704761904761906|0,5428571428571428|17,449469245310457|3,6353060927730114|1,9339828413552422|0,4653191798749455|49,191222570532915|46,73354231974922|4,9961763956156
05040|1564|411|1828|395|202|65|8897|14502|10382|5362|226|5588|10,784719349055303|2,8340918494000826|20,546251545464763|4,439698774867933|2,2704282342362596|0,7305833426997864|53,823926025813904|51,64708148718936|4,044380816034359
05042|1621|793|3988|1511|788|202|16182|23216|18235|9766|810|10576|6,982253618194349|3,415747760165403|24,644666913854902|9,337535533308614|4,869608206649363|1,2483005808923495|57,99835481217439|53,55634768302715|7,658850226928895
05044|718|24|661|134|80|24|4208|6388|4889|2606|79|2685|11,23982467125861|0,37570444583594237|15,708174904942965|3,1844106463878328|1,9011406844106464|0,5703422053231939|54,91920638167315|53,303334015136016|2,942271880819367
05045|7833|43706|23883|8845|5170|1266|72317|113469|83798|44460|4115|48575|6,903207043333421|38,518009324132585|33,025429705325166|12,230872408977142|7,149079746117787|1,750625717327876|57,9667772500537|53,056158858206636|8,47143592382913
05051|2298|8071|3777|1089|607|135|15754|26289|18570|7719|871|8590|8,741298642017574|30,701053672638746|23,97486352672337|6,912530151072743|3,852989716897296|0,8569252253395964|46,25740441572429|41,5670436187399|10,139697322467986
05055|588|59|754|147|106|34|4328|6752|5035|2587|106|2693|8,708530805687204|0,8738151658767772|17,421441774491683|3,3964879852125693|2,4491682070240297|0,7855822550831794|53,48560079443892|51,38033763654419|3,9361307092461937
05059|344|10|454|91|65|21|2848|3819|3149|1428|87|1515|9,007593610892904|0,2618486514794449|15,941011235955054|3,1952247191011236|2,282303370786517|0,7373595505617977|48,11051127342013|45,3477294379168|5,742574257425743
05079|3253|251|10126|3308|1680|316|32863|44757|36605|19624|1627|21251|7,268136827758786|0,5608061308845544|30,812768158719532|10,066031707391291|5,112132185132215|0,9615677205367738|58,05491053134818|53,61016254610026|7,656110300691732
05086|479|2099|898|212|81|24|3492|5349|4079|2164|38|2202|8,95494484950458|39,24097962235932|25,715922107674682|6,0710194730813285|2,3195876288659796|0,6872852233676976|53,98381956361853|53,05221868104928|1,725703905540418
