Cod. Municipio|Departamento|Municipio|% pobreza municipio|% informalidad municipio
05001|Antioquia|Medellín|12,8|71,0
05002|Antioquia|Abejorral|40,6|87,5
05004|Antioquia|Abriaquí|34,8|87,6
05021|Antioquia|Alejandría|31,9|87,1
05030|Antioquia|Amagá|22,9|69,5
05031|Antioquia|Amalfi|43,3|86,4
05034|Antioquia|Andes|40,1|87,2
05036|Antioquia|Angelópolis|30,7|74,0
05038|Antioquia|Angostura|53,8|87,0
05040|Antioquia|Anorí|53,3|89,1
05042|Antioquia|Santafé de Antioquia|29,7|81,9
05044|Antioquia|Anzá|47,1|87,1
05045|Antioquia|Apartadó|28,0|74,6
05051|Antioquia|Arboletes|59,1|90,7
05055|Antioquia|Argelia|48,7|91,3
05059|Antioquia|Armenia|37,7|86,0
05079|Antioquia|Barbosa|22,2|78,0
05086|Antioquia|Belmira|40,8|81,4
05088|Antioquia|Bello|14,2|72,7
05091|Antioquia|Betania|53,6|90,6
05093|Antioquia|Betulia|53,1|92,2
05101|Antioquia|Ciudad Bolívar|40,4|83,7
05107|Antioquia|Briceño|55,4|85,7
05113|Antioquia|Buriticá|51,3|83,2
05120|Antioquia|Cáceres|66,4|93,2
05125|Antioquia|Caicedo|54,6|93,3
05129|Antioquia|Caldas|16,0|66,9
05134|Antioquia|Campamento|59,3|91,1
05138|Antioquia|Cañasgordas|45,3|89,4
05142|Antioquia|Caracolí|35,9|84,7
05145|Antioquia|Caramanta|30,5|85,7
05147|Antioquia|Carepa|34,4|76,3
05148|Antioquia|El Carmen de Viboral|18,5|69,1
05150|Antioquia|Carolina|20,4|75,1
05154|Antioquia|Caucasia|36,0|87,7
05172|Antioquia|Chigorodó|37,7|80,5
05190|Antioquia|Cisneros|28,8|82,7
05197|Antioquia|Cocorná|42,9|85,8
05206|Antioquia|Concepción|33,0|85,2
05209|Antioquia|Concordia|48,5|88,2
05212|Antioquia|Copacabana|11,6|70,5
05234|Antioquia|Dabeiba|60,5|92,1
05237|Antioquia|Donmatías|19,7|80,2
05240|Antioquia|Ebéjico|39,1|85,9
05250|Antioquia|El Bagre|53,7|91,7
05264|Antioquia|Entrerríos|23,1|68,5
05266|Antioquia|Envigado|4,9|62,4
05282|Antioquia|Fredonia|31,6|78,4
05284|Antioquia|Frontino|51,3|90,7
05306|Antioquia|Giraldo|33,4|84,7
05308|Antioquia|Girardota|13,9|69,4
05310|Antioquia|Gómez Plata|34,1|81,1
05313|Antioquia|Granada|33,4|84,4
05315|Antioquia|Guadalupe|41,1|80,2
05318|Antioquia|Guarne|17,0|72,6
05321|Antioquia|Guatapé|11,4|77,8
05347|Antioquia|Heliconia|37,5|80,4
05353|Antioquia|Hispania|36,9|79,1
05360|Antioquia|Itagüí|10,9|69,0
05361|Antioquia|Ituango|57,6|89,3
05364|Antioquia|Jardín|28,5|85,8
05368|Antioquia|Jericó|25,8|80,0
05376|Antioquia|La Ceja|11,5|65,3
05380|Antioquia|La Estrella|9,2|65,5
05390|Antioquia|La Pintada|31,2|73,1
05400|Antioquia|La Unión|23,0|78,9
05411|Antioquia|Liborina|43,3|89,6
05425|Antioquia|Maceo|36,0|84,3
05440|Antioquia|Marinilla|15,4|74,5
05467|Antioquia|Montebello|39,5|86,3
05475|Antioquia|Murindó|81,5|89,0
05480|Antioquia|Mutatá|57,8|89,2
05483|Antioquia|Nariño|51,8|90,9
05490|Antioquia|Necoclí|62,7|91,5
05495|Antioquia|Nechí|61,5|93,3
05501|Antioquia|Olaya|33,4|87,0
05541|Antioquia|Peñol|20,0|83,3
05543|Antioquia|Peque|53,5|90,6
05576|Antioquia|Pueblorrico|45,7|89,3
05579|Antioquia|Puerto Berrío|32,1|79,2
05585|Antioquia|Puerto Nare|33,1|81,9
05591|Antioquia|Puerto Triunfo|29,3|79,0
05604|Antioquia|Remedios|42,1|80,7
05607|Antioquia|Retiro|11,7|64,9
05615|Antioquia|Rionegro|9,5|68,1
05628|Antioquia|Sabanalarga|52,8|91,7
05631|Antioquia|Sabaneta|4,5|58,7
05642|Antioquia|Salgar|49,7|87,5
05647|Antioquia|San Andrés de Cuerquía|48,5|83,9
05649|Antioquia|San Carlos|30,5|86,1
05652|Antioquia|San Francisco|46,4|85,3
05656|Antioquia|San Jerónimo|30,5|82,0
05658|Antioquia|San José de La Montaña|34,0|77,8
05659|Antioquia|San Juan de Urabá|61,1|92,0
05660|Antioquia|San Luis|32,4|82,1
05664|Antioquia|San Pedro de Los Milagros|19,5|75,0
05665|Antioquia|San Pedro de Urabá|62,3|92,3
05667|Antioquia|San Rafael|36,8|83,1
05670|Antioquia|San Roque|40,8|87,8
05674|Antioquia|San Vicente|27,8|85,7
05679|Antioquia|Santa Bárbara|28,1|81,8
05686|Antioquia|Santa Rosa de Osos|30,9|77,9
05690|Antioquia|Santo Domingo|41,5|85,4
05697|Antioquia|El Santuario|22,0|82,9
05736|Antioquia|Segovia|42,8|78,9
05756|Antioquia|Sonsón|37,9|85,9
05761|Antioquia|Sopetrán|28,7|82,3
05789|Antioquia|Támesis|36,6|82,9
05790|Antioquia|Tarazá|53,5|91,8
05792|Antioquia|Tarso|42,6|75,5
05809|Antioquia|Titiribí|30,3|74,3
05819|Antioquia|Toledo|53,5|86,2
05837|Antioquia|Turbo|49,9|87,6
05842|Antioquia|Uramita|55,6|92,2
05847|Antioquia|Urrao|46,1|89,4
05854|Antioquia|Valdivia|59,3|91,5
05856|Antioquia|Valparaíso|25,9|76,6
05858|Antioquia|Vegachí|41,0|85,0
05861|Antioquia|Venecia|25,8|73,5
05873|Antioquia|Vigía del Fuerte|76,1|93,6
05885|Antioquia|Yalí|44,0|87,1
05887|Antioquia|Yarumal|33,8|84,3
05890|Antioquia|Yolombó|45,0|87,7
05893|Antioquia|Yondó|46,3|81,9
05895|Antioquia|Zaragoza|58,0|91,1
08001|Atlántico|Barranquilla|17,4|84,6
08078|Atlántico|Baranoa|33,5|87,6
08137|Atlántico|Campo de La Cruz|64,6|95,3
08141|Atlántico|Candelaria|52,0|94,0
08296|Atlántico|Galapa|23,8|85,0
08372|Atlántico|Juan de Acosta|36,7|91,2
08421|Atlántico|Luruaco|55,4|93,2
08433|Atlántico|Malambo|30,0|88,5
08436|Atlántico|Manatí|48,4|92,3
08520|Atlántico|Palmar de Varela|36,0|86,7
08549|Atlántico|Piojó|45,2|87,6
08558|Atlántico|Polonuevo|30,5|85,3
08560|Atlántico|Ponedera|46,7|90,0
08573|Atlántico|Puerto Colombia|14,4|80,7
08606|Atlántico|Repelón|54,6|90,9
08634|Atlántico|Sabanagrande|31,9|86,2
08638|Atlántico|Sabanalarga|36,5|89,6
08675|Atlántico|Santa Lucía|47,2|91,7
08685|Atlántico|Santo Tomás|25,8|85,5
08758|Atlántico|Soledad|18,6|86,1
08770|Atlántico|Suan|43,8|91,2
08832|Atlántico|Tubará|32,8|83,2
08849|Atlántico|Usiacurí|32,7|85,0
11001|Bogotá, D.C.|Bogotá, D.C.|9,0|69,1
13001|Bolívar|Cartagena de Indias|19,9|86,6
13006|Bolívar|Achí|62,4|94,2
13030|Bolívar|Altos del Rosario|70,7|96,0
13042|Bolívar|Arenal|62,0|93,2
13052|Bolívar|Arjona|47,4|87,8
13062|Bolívar|Arroyohondo|68,4|94,9
13074|Bolívar|Barranco de Loba|68,9|93,7
13140|Bolívar|Calamar|62,5|94,0
13160|Bolívar|Cantagallo|50,6|86,0
13188|Bolívar|Cicuco|61,3|91,1
13212|Bolívar|Córdoba|61,9|95,5
13222|Bolívar|Clemencia|63,0|90,1
13244|Bolívar|El Carmen de Bolívar|58,4|93,6
13248|Bolívar|El Guamo|59,5|94,0
13268|Bolívar|El Peñón|67,7|89,9
13300|Bolívar|Hatillo de Loba|73,8|93,2
13430|Bolívar|Magangué|49,1|93,4
13433|Bolívar|Mahates|54,3|92,4
13440|Bolívar|Margarita|65,6|95,0
13442|Bolívar|María La Baja|63,2|94,4
13458|Bolívar|Montecristo|70,1|88,8
13468|Bolívar|Mompós|49,1|93,2
13473|Bolívar|Morales|57,6|93,4
13490|Bolívar|Norosí|66,2|92,7
13549|Bolívar|Pinillos|67,5|94,8
13580|Bolívar|Regidor|48,9|78,8
13600|Bolívar|Río Viejo|57,3|90,0
13620|Bolívar|San Cristóbal|49,9|92,5
13647|Bolívar|San Estanislao|50,7|89,9
13650|Bolívar|San Fernando|64,3|93,8
13654|Bolívar|San Jacinto|60,3|94,3
13655|Bolívar|San Jacinto del Cauca|66,7|95,0
13657|Bolívar|San Juan Nepomuceno|56,2|92,9
13667|Bolívar|San Martín de Loba|60,6|95,2
13670|Bolívar|San Pablo|54,0|90,3
13673|Bolívar|Santa Catalina|54,8|89,5
13683|Bolívar|Santa Rosa|54,3|88,1
13688|Bolívar|Santa Rosa del Sur|43,6|91,5
13744|Bolívar|Simití|54,8|91,1
13760|Bolívar|Soplaviento|39,4|89,2
13780|Bolívar|Talaigua Nuevo|50,7|93,4
13810|Bolívar|Tiquisio|73,0|96,8
13836|Bolívar|Turbaco|30,4|83,2
13838|Bolívar|Turbaná|42,8|83,3
13873|Bolívar|Villanueva|54,1|90,9
13894|Bolívar|Zambrano|62,4|91,7
15001|Boyacá|Tunja|11,4|75,3
15022|Boyacá|Almeida|37,5|88,8
15047|Boyacá|Aquitania|33,5|95,1
15051|Boyacá|Arcabuco|24,8|89,4
15087|Boyacá|Belén|25,2|85,6
15090|Boyacá|Berbeo|40,5|84,9
15092|Boyacá|Betéitiva|43,3|84,0
15097|Boyacá|Boavita|48,1|85,3
15104|Boyacá|Boyacá|39,7|91,6
15106|Boyacá|Briceño|48,5|90,2
15109|Boyacá|Buenavista|44,9|93,0
15114|Boyacá|Busbanzá|31,3|85,4
15131|Boyacá|Caldas|43,7|91,8
15135|Boyacá|Campohermoso|52,3|89,8
15162|Boyacá|Cerinza|29,4|87,4
15172|Boyacá|Chinavita|41,1|90,8
15176|Boyacá|Chiquinquirá|17,3|84,2
15180|Boyacá|Chiscas|60,1|92,3
15183|Boyacá|Chita|69,1|93,1
15185|Boyacá|Chitaraque|46,4|93,6
15187|Boyacá|Chivatá|42,3|83,1
15189|Boyacá|Ciénega|40,5|91,9
15204|Boyacá|Cómbita|36,1|86,1
15212|Boyacá|Coper|38,8|92,4
15215|Boyacá|Corrales|26,6|76,4
15218|Boyacá|Covarachía|55,6|91,8
15223|Boyacá|Cubará|69,7|91,8
15224|Boyacá|Cucaita|25,9|90,1
15226|Boyacá|Cuítiva|40,7|88,6
15232|Boyacá|Chíquiza|51,3|95,9
15236|Boyacá|Chivor|45,8|93,6
15238|Boyacá|Duitama|10,5|78,0
15244|Boyacá|El Cocuy|49,4|91,4
15248|Boyacá|El Espino|31,3|89,3
15272|Boyacá|Firavitoba|21,7|82,1
15276|Boyacá|Floresta|43,9|89,4
15293|Boyacá|Gachantivá|51,2|89,0
15296|Boyacá|Gámeza|43,7|82,3
15299|Boyacá|Garagoa|20,3|84,2
15317|Boyacá|Guacamayas|30,4|89,0
15322|Boyacá|Guateque|19,4|82,8
15325|Boyacá|Guayatá|36,1|89,8
15332|Boyacá|Güicán de La Sierra|48,1|89,0
15362|Boyacá|Iza|24,8|82,7
15367|Boyacá|Jenesano|38,8|89,8
15368|Boyacá|Jericó|64,7|90,2
15377|Boyacá|Labranzagrande|57,4|91,6
15380|Boyacá|La Capilla|31,6|90,6
15401|Boyacá|La Victoria|38,4|86,8
15403|Boyacá|La Uvita|41,9|88,4
15407|Boyacá|Villa de Leyva|15,2|81,4
15425|Boyacá|Macanal|28,9|88,6
15442|Boyacá|Maripí|67,0|93,1
