Cod. Municipio|Departamento|Municipio|Subregión PDET|ZOMAC
05001|Antioquia|Medellín||0
05002|Antioquia|Abejorral||1
05004|Antioquia|Abriaquí||1
05021|Antioquia|Alejandría||1
05030|Antioquia|Amagá||0
05031|Antioquia|Amalfi|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05034|Antioquia|Andes||0
05036|Antioquia|Angelópolis||0
05038|Antioquia|Angostura||1
05040|Antioquia|Anorí|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05042|Antioquia|Santafé de Antioquia||1
05044|Antioquia|Anzá||0
05045|Antioquia|Apartadó|URABÁ ANTIOQUEÑO|1
05051|Antioquia|Arboletes||0
05055|Antioquia|Argelia||1
05059|Antioquia|Armenia||0
05079|Antioquia|Barbosa||0
05086|Antioquia|Belmira||0
05088|Antioquia|Bello||0
05091|Antioquia|Betania||0
05093|Antioquia|Betulia||0
05101|Antioquia|Ciudad Bolívar||0
05107|Antioquia|Briceño|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05113|Antioquia|Buriticá||0
05120|Antioquia|Cáceres|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05125|Antioquia|Caicedo||1
05129|Antioquia|Caldas||0
05134|Antioquia|Campamento||1
05138|Antioquia|Cañasgordas||0
05142|Antioquia|Caracolí||0
05145|Antioquia|Caramanta||0
05147|Antioquia|Carepa|URABÁ ANTIOQUEÑO|1
05148|Antioquia|El Carmen de Viboral||0
05150|Antioquia|Carolina||0
05154|Antioquia|Caucasia|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05172|Antioquia|Chigorodó|URABÁ ANTIOQUEÑO|1
05190|Antioquia|Cisneros||0
05197|Antioquia|Cocorná||1
05206|Antioquia|Concepción||1
05209|Antioquia|Concordia||0
05212|Antioquia|Copacabana||0
05234|Antioquia|Dabeiba|URABÁ ANTIOQUEÑO|1
05237|Antioquia|Donmatías||0
05240|Antioquia|Ebéjico||0
05250|Antioquia|El Bagre|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05264|Antioquia|Entrerríos||0
05266|Antioquia|Envigado||0
05282|Antioquia|Fredonia||0
05284|Antioquia|Frontino||1
05306|Antioquia|Giraldo||0
05308|Antioquia|Girardota||0
05310|Antioquia|Gómez Plata||0
05313|Antioquia|Granada||1
05315|Antioquia|Guadalupe||1
05318|Antioquia|Guarne||0
05321|Antioquia|Guatapé||0
05347|Antioquia|Heliconia||0
05353|Antioquia|Hispania||0
05360|Antioquia|Itagüí||0
05361|Antioquia|Ituango|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05364|Antioquia|Jardín||0
05368|Antioquia|Jericó||0
05376|Antioquia|La Ceja||0
05380|Antioquia|La Estrella||0
05390|Antioquia|La Pintada||0
05400|Antioquia|La Unión||0
05411|Antioquia|Liborina||0
05425|Antioquia|Maceo||0
05440|Antioquia|Marinilla||0
05467|Antioquia|Montebello||1
05475|Antioquia|Murindó|CHOCÓ|1
05480|Antioquia|Mutatá|URABÁ ANTIOQUEÑO|1
05483|Antioquia|Nariño||1
05490|Antioquia|Necoclí|URABÁ ANTIOQUEÑO|1
05495|Antioquia|Nechí|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05501|Antioquia|Olaya||0
05541|Antioquia|Peñol||0
05543|Antioquia|Peque||0
05576|Antioquia|Pueblorrico||0
05579|Antioquia|Puerto Berrío||1
05585|Antioquia|Puerto Nare||0
05591|Antioquia|Puerto Triunfo||0
05604|Antioquia|Remedios|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05607|Antioquia|Retiro||0
05615|Antioquia|Rionegro||0
05628|Antioquia|Sabanalarga||0
05631|Antioquia|Sabaneta||0
05642|Antioquia|Salgar||1
05647|Antioquia|San Andrés de Cuerquía||1
05649|Antioquia|San Carlos||1
05652|Antioquia|San Francisco||1
05656|Antioquia|San Jerónimo||0
05658|Antioquia|San José de La Montaña||0
05659|Antioquia|San Juan de Urabá||0
05660|Antioquia|San Luis||1
05664|Antioquia|San Pedro de Los Milagros||0
05665|Antioquia|San Pedro de Urabá|URABÁ ANTIOQUEÑO|1
05667|Antioquia|San Rafael||1
05670|Antioquia|San Roque||0
05674|Antioquia|San Vicente||0
05679|Antioquia|Santa Bárbara||0
05686|Antioquia|Santa Rosa de Osos||0
05690|Antioquia|Santo Domingo||1
05697|Antioquia|El Santuario||0
05736|Antioquia|Segovia|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05756|Antioquia|Sonsón||1
05761|Antioquia|Sopetrán||0
05789|Antioquia|Támesis||0
05790|Antioquia|Tarazá|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05792|Antioquia|Tarso||0
05809|Antioquia|Titiribí||0
05819|Antioquia|Toledo||1
05837|Antioquia|Turbo|URABÁ ANTIOQUEÑO|1
05842|Antioquia|Uramita||1
05847|Antioquia|Urrao||1
05854|Antioquia|Valdivia|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
05856|Antioquia|Valparaíso||0
05858|Antioquia|Vegachí||1
05861|Antioquia|Venecia||0
05873|Antioquia|Vigía del Fuerte|CHOCÓ|1
05885|Antioquia|Yalí||1
05887|Antioquia|Yarumal||1
05890|Antioquia|Yolombó||1
05893|Antioquia|Yondó|SUR DE BOLÍVAR|1
05895|Antioquia|Zaragoza|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1
08001|Atlántico|Barranquilla||0
08078|Atlántico|Baranoa||0
08137|Atlántico|Campo de La Cruz||0
08141|Atlántico|Candelaria||0
08296|Atlántico|Galapa||0
08372|Atlántico|Juan de Acosta||0
08421|Atlántico|Luruaco||0
08433|Atlántico|Malambo||0
08436|Atlántico|Manatí||0
08520|Atlántico|Palmar de Varela||0
08549|Atlántico|Piojó||0
08558|Atlántico|Polonuevo||0
08560|Atlántico|Ponedera||0
08573|Atlántico|Puerto Colombia||0
08606|Atlántico|Repelón||0
08634|Atlántico|Sabanagrande||0
08638|Atlántico|Sabanalarga||0
08675|Atlántico|Santa Lucía||0
08685|Atlántico|Santo Tomás||0
08758|Atlántico|Soledad||0
08770|Atlántico|Suan||0
08832|Atlántico|Tubará||0
08849|Atlántico|Usiacurí||0
11001|Bogotá, D.C.|Bogotá, D.C.||0
13001|Bolívar|Cartagena de Indias||0
13006|Bolívar|Achí||0
13030|Bolívar|Altos del Rosario||0
13042|Bolívar|Arenal|SUR DE BOLÍVAR|1
13052|Bolívar|Arjona||0
13062|Bolívar|Arroyohondo||0
13074|Bolívar|Barranco de Loba||0
13140|Bolívar|Calamar||0
13160|Bolívar|Cantagallo|SUR DE BOLÍVAR|1
13188|Bolívar|Cicuco||0
13212|Bolívar|Córdoba|MONTES DE MARÍA|1
13222|Bolívar|Clemencia||0
13244|Bolívar|El Carmen de Bolívar|MONTES DE MARÍA|1
13248|Bolívar|El Guamo|MONTES DE MARÍA|1
13268|Bolívar|El Peñón||0
13300|Bolívar|Hatillo de Loba||0
13430|Bolívar|Magangué||0
13433|Bolívar|Mahates||0
13440|Bolívar|Margarita||0
13442|Bolívar|María La Baja|MONTES DE MARÍA|1
13458|Bolívar|Montecristo||1
13468|Bolívar|Mompós||0
