Cod. Municipio|Departamento|Municipio|AÑO|Población municipio|Total Hombres|Total Mujeres|% mujeres municipio|% jóvenes municipio
05001|Antioquia|Medellín|2024|2616335|1232017|1384318|52,91057911161988|23,49217512283404
05002|Antioquia|Abejorral|2024|21468|11230|10238|47,689584497857275|19,638531768213156
05004|Antioquia|Abriaquí|2024|2855|1549|1306|45,74430823117338|20,875656742556917
05021|Antioquia|Alejandría|2024|4955|2454|2501|50,474268415741676|19,414732593340062
05030|Antioquia|Amagá|2024|32412|15890|16522|50,97494755029002|22,328150067876095
05031|Antioquia|Amalfi|2024|27846|13896|13950|50,096961861667744|24,129138835021188
05034|Antioquia|Andes|2024|46183|23963|22220|48,11294199164195|22,291752376415563
05036|Antioquia|Angelópolis|2024|6109|3079|3030|49,59895236536258|21,28007857259781
05038|Antioquia|Angostura|2024|12121|6135|5986|49,38536424387427|23,240656711492452
05040|Antioquia|Anorí|2024|19675|10376|9299|47,26302414231258|25,651842439644216
05042|Antioquia|Santafé de Antioquia|2024|28049|13865|14184|50,56864772362651|22,835038682305964
05044|Antioquia|Anzá|2024|7483|3876|3607|48,20259254309769|22,343979687291192
05045|Antioquia|Apartadó|2024|131422|63795|67627|51,457898981905615|26,300010652706547
05051|Antioquia|Arboletes|2024|32192|16015|16177|50,2516153081511|22,173210735586483
05055|Antioquia|Argelia|2024|8024|4118|3906|48,67896311066799|21,547856430707878
05059|Antioquia|Armenia|2024|5404|2687|2717|50,277572168763875|15,877128053293857
05079|Antioquia|Barbosa|2024|56103|27839|28264|50,37876762383473|21,925743721369624
05086|Antioquia|Belmira|2024|6405|3228|3177|49,60187353629977|23,653395784543328
05088|Antioquia|Bello|2024|566456|272851|293605|51,83191633595548|24,54100583275665
05091|Antioquia|Betania|2024|10892|5612|5280|48,47594564818215|22,062063900110175
05093|Antioquia|Betulia|2024|16604|8487|8117|48,88581064803662|23,08479884365213
05101|Antioquia|Ciudad Bolívar|2024|27711|13839|13872|50,05954314171268|21,103532893074952
05107|Antioquia|Briceño|2024|8523|4454|4069|47,741405608353865|23,923501114630998
05113|Antioquia|Buriticá|2024|10017|5217|4800|47,918538484576224|23,849455924927625
05120|Antioquia|Cáceres|2024|31160|16275|14885|47,769576379974325|23,770860077021823
05125|Antioquia|Caicedo|2024|8870|4404|4466|50,34949267192784|23,3032694475761
05129|Antioquia|Caldas|2024|86081|40829|45252|52,5690919018134|22,028089822376597
05134|Antioquia|Campamento|2024|9755|5029|4726|48,446950281906716|23,382880574064583
05138|Antioquia|Cañasgordas|2024|16371|8220|8151|49,78926149899212|21,6480361615051
05142|Antioquia|Caracolí|2024|4824|2417|2407|49,89635157545605|18,760364842454393
05145|Antioquia|Caramanta|2024|4951|2465|2486|50,212078368006466|17,915572611593618
05147|Antioquia|Carepa|2024|52184|25854|26330|50,45607849149164|27,05426950789514
05148|Antioquia|El Carmen de Viboral|2024|64265|31619|32646|50,79903524468996|23,471563059207966
05150|Antioquia|Carolina|2024|4219|2064|2155|51,07845461009718|18,795923204550842
05154|Antioquia|Caucasia|2024|97803|47630|50173|51,300062370274944|24,595360060529842
05172|Antioquia|Chigorodó|2024|62235|29833|32402|52,063951152888244|26,481883184703143
05190|Antioquia|Cisneros|2024|10422|4935|5487|52,648244099021305|19,967376703127997
05197|Antioquia|Cocorná|2024|16551|8171|8380|50,631381789619965|20,198175336837654
05206|Antioquia|Concepción|2024|5049|2607|2442|48,36601307189542|18,36007130124777
05209|Antioquia|Concordia|2024|22737|11290|11447|50,34525223204468|21,51559132691208
05212|Antioquia|Copacabana|2024|84209|40901|43308|51,42918215392655|22,574784167963045
05234|Antioquia|Dabeiba|2024|24586|12434|12152|49,42650288782234|23,371024160091107
05237|Antioquia|Donmatías|2024|20360|9470|10890|53,48722986247544|23,536345776031435
05240|Antioquia|Ebéjico|2024|12820|6502|6318|49,28237129485179|17,113884555382217
05250|Antioquia|El Bagre|2024|56306|27563|28743|51,04784570028061|25,0115440627997
05264|Antioquia|Entrerríos|2024|12062|5996|6066|50,290167468081584|23,24655944287846
05266|Antioquia|Envigado|2024|248304|113975|134329|54,09860493588504|18,813228945163992
05282|Antioquia|Fredonia|2024|25981|13026|12955|49,863361687386934|18,605904314691504
05284|Antioquia|Frontino|2024|21905|10901|11004|50,235106140150656|21,981282812143345
05306|Antioquia|Giraldo|2024|5963|3061|2902|48,66677846721449|21,750796578903238
05308|Antioquia|Girardota|2024|55902|27376|28526|51,02858573932954|22,362348395406247
05310|Antioquia|Gómez Plata|2024|10397|5126|5271|50,697316533615464|18,45724728287006
05313|Antioquia|Granada|2024|10785|5336|5449|50,523875753361146|20,74177097821048
05315|Antioquia|Guadalupe|2024|6966|3547|3419|49,08125179443009|22,52368647717485
05318|Antioquia|Guarne|2024|59710|29504|30206|50,587841232624356|21,674761346508124
05321|Antioquia|Guatapé|2024|9020|4372|4648|51,52993348115299|21,186252771618623
05347|Antioquia|Heliconia|2024|5716|2983|2733|47,813156053184045|18,561931420573828
05353|Antioquia|Hispania|2024|5846|2904|2942|50,32500855285665|20,30448169688676
05360|Antioquia|Itagüí|2024|299348|142071|157277|52,53985328113099|22,48186057698732
05361|Antioquia|Ituango|2024|28890|17448|11442|39,60539979231568|23,883696780893043
05364|Antioquia|Jardín|2024|15513|7692|7821|50,41578031328563|20,24753432604912
05368|Antioquia|Jericó|2024|14454|7171|7283|50,38743600387436|18,479313684793137
05376|Antioquia|La Ceja|2024|70387|33914|36473|51,81780726554619|22,558142838876496
05380|Antioquia|La Estrella|2024|77611|37620|39991|51,52748965997088|22,23653863498731
05390|Antioquia|La Pintada|2024|8614|4340|4274|49,61690271650801|25,14511260738333
05400|Antioquia|La Unión|2024|23072|11289|11783|51,07056171983356|23,66504854368932
05411|Antioquia|Liborina|2024|10649|5429|5220|49,01868720067612|19,08160390647009
05425|Antioquia|Maceo|2024|8707|4299|4408|50,62593315722982|20,156196164005973
05440|Antioquia|Marinilla|2024|69898|34055|35843|51,27900655240494|23,640161378007953
05467|Antioquia|Montebello|2024|7035|3558|3477|49,424307036247335|17,668798862828712
