Código Dane municipio|Desagregación cultivo|Producción (t)
05001|Aguacate Hass|257,0
05001|Aguacate demás variedades|129,36
05001|Ahuyama|5,4
05001|Ajo|88,0
05001|Ají|38,989999999999995
05001|Apio|844,44
05001|Arveja|0,6799999999999999
05001|Brevo|224,0
05001|Brócoli|1096,0
05001|Café|755,9406
05001|Caña panelera|13014,0
05001|Cebolla de bulbo|140,0
05001|Cebolla de rama|7020,6
05001|Cilantro|529,58
05001|Col|150,01999999999998
05001|Coliflor|350,0
05001|Espinaca|360,0
05001|Fresa|623,0
05001|Frijol|201,29
05001|Guayaba|12,0
05001|Haba|9,159292035398227
05001|Habichuela|63,0
05001|Lechuga|1012,65
05001|Limón Tahití|100,0
05001|Mandarina Arrayana y/o Oneco|225,0
05001|Mango demás variedades|114,0
05001|Mora|2240,0
05001|Naranja Valencia|217,7
05001|Otras hortalizas|1316,11
05001|Papa todas las variedades|3662,44
05001|Pepino cohombro|150,0
05001|Perejil|57,4
05001|Pimentón|267,15
05001|Plátano consumo interno|2284,56
05001|Remolacha|228,0
05001|Repollo|453,0
05001|Rábano|23,0
05001|Tomate de árbol|808,0
05001|Tomate invernadero|12530,4
05001|Yuca consumo en fresco|273,35
05001|Zanahoria|182,25
05002|Aguacate Hass|105849,0
05002|Banano consumo interno|1605,0
05002|Cacao|6,5
05002|Café|11044,9131
05002|Caña panelera|31234,5
05002|Frijol|877,5
05002|Limón Tahití|1520,0
05002|Mango demás variedades|360,0
05002|Maíz amarillo tradicional|458,0
05002|Maíz blanco tradicional|528,0
05002|Mora|152,0
05002|Papa todas las variedades|5150,0
05002|Plátano consumo interno|27510,75
05002|Tomate de árbol|400,0
05004|Aguacate Hass|2750,0
05004|Arveja|4,6
05004|Café|430,14599999999996
05004|Caña panelera|14985,6
05004|Cebolla de bulbo|4,13
05004|Cebolla de rama|17,85
05004|Cilantro|13,100000000000001
05004|Frijol|347,2
05004|Granadilla|103,0
05004|Gulupa o cholupa|410,0
05004|Habichuela|29,8
05004|Lechuga|19,79
05004|Lulo|138,75
05004|Maíz amarillo tradicional|71,0
05004|Maíz blanco tradicional|25,0
05004|Papa criolla|32,964999999999996
05004|Papa todas las variedades|28,09
05004|Pepino cohombro|4,4
05004|Plátano consumo interno|52,0
05004|Repollo|58,4
05004|Tomate de árbol|1695,0
05004|Tomate invernadero|2997,5
05004|Yuca consumo en fresco|26,45
05004|Zanahoria|17,16
05021|Café|1657,9228
05021|Caña panelera|38500,0
05021|Cebolla de rama|120,0
05021|Fique|12,0
05021|Frijol|160,5
05021|Maíz amarillo tradicional|54,111864406779624
05021|Plátano consumo interno|804,0
05021|Tomate|79,0
05021|Yuca consumo en fresco|384,0
05030|Aguacate Hass|1105,0
05030|Aguacate demás variedades|170,0
05030|Arroz secano manual|0,8925
05030|Banano consumo interno|390,0
05030|Café|1823,4656
05030|Caña panelera|3795,0
05030|Cebolla de rama|20,6
05030|Frijol|21,6
05030|Gulupa o cholupa|0,0
05030|Lechuga|59,8
05030|Maíz amarillo tradicional|65,27288135593221
05030|Maíz blanco tradicional|12,92033898305085
05030|Piña Cayena, Gold, Manzana y/o Perolera|0,0
05030|Plantas aromáticas|16,5
05030|Plátano consumo interno|1318,4
05030|Tomate|1086,54
05030|Tomate invernadero|44,1
05030|Uchuva|1,2
05030|Yuca consumo en fresco|631,5
05031|Aguacate demás variedades|1245,0
05031|Cacao|2148,0
05031|Café|3320,6901
05031|Caña panelera|91400,0
05031|Fique|3871,9
05031|Frijol|613,8
05031|Lulo|20,0
05031|Maíz amarillo tradicional|396,0
05031|Plátano consumo interno|4068,0
05031|Yuca consumo en fresco|4188,0
05034|Aguacate Hass|87,5
05034|Banano consumo interno|8121,014999999999
05034|Café|19409,4144
05034|Caña panelera|30850,0
05034|Cebolla de rama|147,0
05034|Frijol|275,2794405594406
05034|Habichuela|58,5
05034|Maíz amarillo tradicional|268,8183050847458
05034|Maíz blanco tradicional|201,8840677966102
05034|Pepino cohombro|360,0
05034|Pimentón|212,5
05034|Plátano consumo interno|15396,505
05034|Tomate|2173,94
05034|Tomate de árbol|540,0
05034|Yuca consumo en fresco|1844,0
05036|Aguacate demás variedades|223,88
05036|Banano consumo interno|76,8
05036|Café|539,1205
05036|Caña panelera|10661,3
05036|Frijol|93,3218181818182
05036|Mandarina Arrayana y/o Oneco|467,20000000000005
05036|Maíz amarillo tradicional|75,53389830508478
05036|Maíz blanco tradicional|33,95084745762712
05036|Plátano consumo interno|7167,67
05036|Tomate invernadero|596,9
05036|Yuca consumo en fresco|1017,0
05038|Aguacate Hass|2269,5
05038|Aguacate demás variedades|268,8
05038|Café|1364,1364
05038|Caña panelera|260150,0
05038|Frijol|1108,0
05038|Maíz amarillo tradicional|571,0
05038|Maíz blanco tradicional|466,5
05038|Plátano consumo interno|4735,0
05038|Tomate invernadero|1519,0
05040|Aguacate Papelillo|10,2
05040|Cacao|444,0
05040|Café|674,1842
05040|Caña panelera|126070,0
05040|Frijol|101,67
05040|Maíz amarillo tradicional|114,48
05040|Maíz blanco tradicional|20,6
05040|Plátano consumo interno|984,0
05040|Yuca consumo en fresco|3816,0
05042|Aguacate demás variedades|297,9
05042|Cacao|6,6
05042|Café|5324,4774
05042|Caña panelera|1040,0
05042|Frijol|147,0
05042|Limón Tahití|96,0
05042|Lulo|144,0
05042|Mamoncillo|10,5
05042|Mango demás variedades|45,0
05042|Maracuyá|60,0
05042|Maíz amarillo tradicional|107,16
05042|Moringa|148,0
05042|Papaya demás variedades|57,5
05042|Plantas aromáticas|30,0
05042|Plátano consumo interno|352,0
05042|Tamarindo|14,5
05042|Tomate invernadero|265,0
05044|Aguacate Hass|1183,396
05044|Aguacate Papelillo|96,83
05044|Café|4929,7275
05044|Caña miel|784,0
05044|Frijol|176,5
05044|Guanábana|1521,915
05044|Limón Tahití|278,97
05044|Lulo|51,0
05044|Mango Kent, Keitt, Hilacha o Nam Doc|16571,52
05044|Maracuyá|30,0
05044|Maíz amarillo tradicional|187,5
05044|Maíz blanco tradicional|154,0
05044|Naranja Valencia|358,0
05044|Plátano consumo interno|1566,0
05044|Yuca consumo en fresco|120,0
05045|Aguacate demás variedades|3150,0
05045|Arroz secano manual|8965,528
05045|Arroz secano mecanizado|942,48
05045|Banano consumo interno|4284,0
05045|Banano de exportación|1283807,0
05045|Cacao|2802,0
05045|Limón Tahití|0,0
05045|Maracuyá|924,0
05045|Maíz amarillo tradicional|3275,5
05045|Maíz blanco tradicional|4363,5
05045|Plátano consumo interno|38208,0
05045|Yuca consumo en fresco|19657,0
05051|Arroz secano manual|8777,4
05051|Cacao|534,3199999999999
05051|Coco|2390,5
05051|Maracuyá|4158,0
05051|Maíz amarillo tradicional|6895,0
05051|Maíz blanco tradicional|1725,0
05051|Plátano consumo interno|67150,0
05051|Yuca consumo en fresco|21335,0
05051|Ñame demás variedades|13776,0
05055|Aguacate Hass|173,16
05055|Aguacate demás variedades|790,72
05055|Cacao|134,19
05055|Café|3775,7378
05055|Caña panelera|13725,0
05055|Frijol|336,90000000000003
05055|Maíz amarillo tradicional|247,1
05055|Maíz blanco tradicional|179,2262711864407
05055|Plátano consumo interno|1278,0
05055|Tomate invernadero|10,559999999999999
05055|Yuca consumo en fresco|661,5
05059|Aguacate demás variedades|79,0
05059|Banano consumo interno|50,5
05059|Café|1347,7604000000001
05059|Frijol|9,91608391608392
05059|Habichuela|5,0
05059|Limón Tahití|252,04000000000002
05059|Mandarina Arrayana y/o Oneco|32,4
05059|Maracuyá|68,5
05059|Maíz amarillo tradicional|29,19491525423729
05059|Plátano consumo interno|492,15
05079|Aguacate Hass|116,49000000000001
05079|Café|2255,0685
05079|Caña panelera|115130,0
05079|Cebolla de rama|4826,0
05079|Fique|140,475
05079|Frijol|2398,0
05079|Maíz amarillo tradicional|90,38
05079|Maíz blanco tradicional|66,71101694915251
05079|Mora|789,0
05079|Naranja Valencia|448,0
05079|Papa todas las variedades|841,36
05079|Piña demás variedades|861,0
05079|Plátano consumo interno|1796,0
05079|Tomate|4640,0
05086|Aguacate demás variedades|565,3439999999999
05086|Arveja|90,88037383177571
05086|Fresa|510,0
05086|Frijol|689,9020979020979
05086|Maíz amarillo tradicional|138,0
05086|Maíz blanco tradicional|70,3
05086|Mora|106,975
05086|Otras hortalizas|150,0
05086|Papa criolla|2340,0
05086|Papa todas las variedades|18880,0
05086|Uchuva|373,94
05088|Aguacate Hass|254,39999999999998
05088|Café|326,9409
05088|Cebolla de rama|305,38
05088|Frijol|14,0372027972028
05088|Papa todas las variedades|23088,0
05088|Plátano consumo interno|95,8
05088|Tomate|318,32
05088|Tomate de árbol|88,0
05091|Aguacate demás variedades|311,93600000000004
05091|Banano consumo interno|358,87
05091|Café|19809,582300000002
05091|Caña panelera|1784,4
05091|Cilantro|8,0
05091|Frijol|146,02
05091|Lechuga|13,0
05091|Lima|0,802
05091|Limón Mandarino|84,976
05091|Limón Tahití|160,0
05091|Lulo|0,0
05091|Mandarina demás variedades|1,82
05091|Maracuyá|450,0
05091|Maíz amarillo tradicional|392,7
05091|Naranja demás variedades|27,42
05091|Pepino cohombro|438,6
05091|Pimentón|523,8
05091|Plátano consumo interno|2753,56
05091|Tomate|1442,0
05091|Tomate invernadero|62,0
05091|Yuca consumo en fresco|363,0
05093|Aguacate Hass|3328,0
05093|Banano consumo interno|810,0
05093|Cacao|6,0
05093|Café|11697,41
05093|Caña panelera|16200,0
05093|Fique|25,0
05093|Frijol|74,2
05093|Granadilla|192,0
05093|Limón Tahití|444,0
05093|Mandarina Arrayana y/o Oneco|568,41
05093|Mandarina demás variedades|839,74
05093|Mango Kent, Keitt, Hilacha o Nam Doc|18300,0
05093|Maíz amarillo tradicional|202,5
05093|Naranja Valencia|11700,0
05093|Papa criolla|22,0
05093|Papa todas las variedades|100,0
05093|Plátano consumo interno|2920,0
05093|Yuca consumo en fresco|90,0
05101|Banano consumo interno|360,0
05101|Cacao|0,0
05101|Café|22143,4656
05101|Caña panelera|9100,0
05101|Limón demás variedades|3376,5
05101|Plátano consumo interno|7155,200000000001
05101|Yuca consumo en fresco|1116,0
05107|Aguacate Papelillo|1140,0
05107|Arroz secano manual|184,80700000000002
05107|Cacao|524,49
05107|Café|1397,5042
05107|Caña panelera|12425,0
05107|Frijol|130,4
05107|Limón Tahití|147,0
05107|Maracuyá|36,0
05107|Maíz amarillo tradicional|122,6
05107|Maíz blanco tradicional|12,65
05107|Plátano consumo interno|382,5
05107|Yuca consumo en fresco|111,0
05113|Aguacate demás variedades|948,0
05113|Cacao|2,7
05113|Café|2170,23
05113|Caña panelera|3360,0
05113|Cebolla de rama|34,0
05113|Cilantro|28,8
05113|Frijol|782,0
05113|Lulo|9,0
05113|Maíz amarillo tradicional|203,0
05113|Otras hortalizas|52,0
05113|Plátano consumo interno|600,0
05113|Tomate de árbol|6,0
05113|Tomate invernadero|52,2
05120|Arroz secano manual|4104,0
05120|Arroz secano mecanizado|9094,145
05120|Cacao|2369,6
05120|Limón demás variedades|7,52
05120|Maíz amarillo tecnificado|1722,5
05120|Maíz amarillo tradicional|2911,5
05120|Maíz blanco tradicional|1453,5
05120|Plátano consumo interno|12048,0
05120|Yuca consumo en fresco|40211,0
05120|Ñame demás variedades|16366,0
05125|Aguacate Hass|4275,54
05125|Aguacate demás variedades|311,22
05125|Arracacha|35,0
05125|Banano consumo interno|13,0
05125|Café|5760,4512
05125|Caña panelera|390,0
05125|Frijol|154,25
05125|Granadilla|64,8
05125|Gulupa o cholupa|10,8
05125|Limón Tahití|256,0
05125|Lulo|337,5
05125|Mango Kent, Keitt, Hilacha o Nam Doc|279,0
05125|Mango demás variedades|313,2
05125|Maracuyá|350,7
05125|Maíz amarillo tradicional|183,67000000000002
05125|Maíz blanco tradicional|93,66
05125|Piña Cayena, Gold, Manzana y/o Perolera|1,2
05125|Plátano consumo interno|174,0
05125|Sábila|60,0
05125|Tomate|25,8
05125|Tomate de árbol|33,0
05125|Tomate invernadero|174,0
05125|Yuca consumo en fresco|788,0
05129|Aguacate Hass|0,0
05129|Aguacate demás variedades|97,5
05129|Arveja|1,4018691588785
